Game,Year,Month,Sales,Diff,Reply_SUM,Reply_MEAN,Reply_MAX,Reply_MIN,Like_SUM,Like_MEAN,Like_MAX,Like_MIN,Retweet_SUM,Retweet_MEAN,Retweet_MAX,Retweet_MIN,User Followers count_MEAN,User Followers count_MAX,User Followers count_MIN,User Followers count_SUM,User Following count_MEAN,User Following count_MAX,User Following count_MIN,User Following count_SUM,Sentiment_TEXTBLOB_MEAN,Sentiment_VADER_MEAN,Sentiment_NLTK_MEAN,meanAMZ,countAMZ,meanMTC,countMTC
ACNH,2021,7,,,3827.0,61.7258064516129,2236.0,0.0,84839.0,1368.3709677419354,28999.0,94.0,11515.0,185.7258064516129,3086.0,5.0,724117.9032258064,9641264.0,148.0,44895310.0,515.8870967741935,3367.0,0.0,31985.0,0.7419354838709677,0.1805951612903225,0.1805951612903225,10.0,47.0,5.0,16.0
ACNH,2021,8,,,535.0,10.490196078431373,56.0,0.0,26365.0,516.9607843137255,3019.0,57.0,3020.0,59.21568627450981,293.0,1.0,541700.1568627451,9641268.0,250.0,27626708.0,683.2352941176471,4421.0,0.0,34845.0,0.7647058823529411,0.2362509803921568,0.2362509803921568,9.0,45.0,4.0,12.0
ACNH,2021,9,34.85,0.9600000000000009,1110.0,16.08695652173913,157.0,0.0,77390.0,1121.5942028985507,21700.0,87.0,12702.0,184.08695652173915,4427.0,1.0,531630.1884057971,9641268.0,239.0,36682483.0,980.6376811594204,15372.0,0.0,67664.0,0.7971014492753623,0.1660753623188406,0.1652405797101449,9.0,43.0,6.0,11.0
ACNH,2021,10,,,7215.0,37.97368421052632,1185.0,0.0,287093.0,1511.0157894736842,51786.0,66.0,52201.0,274.7421052631579,11398.0,0.0,838645.6157894736,12661387.0,109.0,159342667.0,1090.5,106120.0,0.0,207195.0,0.8526315789473684,0.3285010526315789,0.3282715789473684,9.0,41.0,5.0,10.0
ACNH,2021,11,,,3443.0,17.129353233830845,399.0,0.0,209686.0,1043.2139303482586,24363.0,56.0,27265.0,135.64676616915423,5971.0,0.0,537782.3233830846,12661388.0,83.0,108094247.0,1154.1542288557214,106120.0,0.0,231985.0,0.7910447761194029,0.2606646766169154,0.2599995024875622,9.0,59.0,7.0,14.0
ACNH,2021,12,37.62,2.769999999999996,2826.0,56.52,1232.0,0.0,21931.0,438.62,4875.0,46.0,4166.0,83.32,1253.0,0.0,772347.02,9641271.0,1390.0,38617351.0,3148.34,98035.0,0.0,157417.0,0.8,0.2436019999999999,0.2337399999999999,9.0,63.0,6.0,13.0
ACNH,2022,1,,,201.0,5.4324324324324325,27.0,0.0,9431.0,254.8918918918919,915.0,74.0,1397.0,37.75675675675676,255.0,1.0,380642.0,1826435.0,299.0,14083754.0,581.918918918919,3738.0,19.0,21531.0,0.8378378378378378,0.2256081081081081,0.2256081081081081,9.0,43.0,5.0,7.0
ACNH,2022,2,,,409.0,12.029411764705882,115.0,1.0,38369.0,1128.5,25090.0,105.0,6748.0,198.4705882352941,4912.0,6.0,653906.6764705882,7193825.0,3099.0,22232827.0,911.1764705882352,15372.0,0.0,30980.0,0.5882352941176471,0.3043823529411765,0.3043823529411765,9.0,33.0,7.0,12.0
ACNH,2022,3,38.64,1.0200000000000031,1068.0,19.77777777777778,288.0,0.0,60455.0,1119.537037037037,6725.0,65.0,7422.0,137.44444444444446,1208.0,4.0,147791.22222222222,1040843.0,131.0,7980726.0,1193.3333333333333,15372.0,0.0,64440.0,0.8518518518518519,0.3583518518518518,0.3556555555555555,9.0,36.0,7.0,8.0
ACNH,2022,4,,,229.0,10.409090909090908,79.0,0.0,6424.0,292.0,833.0,59.0,1010.0,45.90909090909091,253.0,7.0,376368.6818181818,1826437.0,789.0,8280111.0,588.6363636363636,1272.0,17.0,12950.0,0.7272727272727273,0.2749772727272727,0.2749772727272727,9.0,20.0,7.0,9.0
